Track,Slice,X,Y,Distance,Velocity,Pixel,Line,Well,Field
1,1,582,1010,-1,-1,-9909306,WJ1,1,1
1,2,556,1004,35.11,0.585,-9986910,WJ1,1,1
1,3,550,994,15.345,0.256,-8069923,WJ1,1,1
1,4,544,984,15.345,0.256,-7282716,WJ1,1,1
1,5,526,966,33.495,0.558,-4589833,WJ1,1,1
1,6,514,976,20.553,0.343,-8798275,WJ1,1,1
1,7,506,994,25.918,0.432,-9919577,WJ1,1,1
1,8,488,1016,37.402,0.623,-8798784,WJ1,1,1
1,9,478,1018,13.419,0.224,-5646377,WJ1,1,1
1,10,472,1016,8.322,0.139,-8798012,WJ1,1,1
1,11,472,1008,10.526,0.175,-10505811,WJ1,1,1
1,12,468,996,16.644,0.277,-8077112,WJ1,1,1
1,13,464,988,11.769,0.196,-11953768,WJ1,1,1
1,14,456,956,43.401,0.723,-5250066,WJ1,1,1
1,15,448,932,33.287,0.555,-8596015,WJ1,1,1
1,16,448,920,15.79,0.263,-7615031,WJ1,1,1
1,17,446,912,10.85,0.181,-7669764,WJ1,1,1
1,18,452,908,9.488,0.158,-6632496,WJ1,1,1
1,19,442,914,15.345,0.256,-12604250,WJ1,1,1
1,20,440,920,8.322,0.139,-10430258,WJ1,1,1
1,21,410,928,40.853,0.681,-6884106,WJ1,1,1
1,22,400,922,15.345,0.256,-7876144,WJ1,1,1
1,23,394,916,11.165,0.186,-5317666,WJ1,1,1
1,24,380,906,22.638,0.377,-5911602,WJ1,1,1
3,1,534,480,-1,-1,-9518916,WJ1,1,1
3,2,512,462,37.402,0.623,-4985876,WJ1,1,1
3,3,482,462,39.474,0.658,-6170405,WJ1,1,1
3,4,482,428,44.737,0.746,-7419190,WJ1,1,1
3,5,472,420,16.85,0.281,-6759205,WJ1,1,1
3,6,526,398,76.724,1.279,-4530466,WJ1,1,1
3,7,584,426,84.744,1.412,-5516072,WJ1,1,1
3,8,578,430,9.488,0.158,-6171692,WJ1,1,1
3,9,566,446,26.316,0.439,-6693926,WJ1,1,1
3,10,568,468,29.067,0.484,-7686214,WJ1,1,1
3,11,560,496,38.317,0.639,-3541003,WJ1,1,1
3,12,552,520,33.287,0.555,-6306107,WJ1,1,1
3,13,542,528,16.85,0.281,-7608861,WJ1,1,1
3,14,520,546,37.402,0.623,-7885911,WJ1,1,1
3,15,498,542,29.422,0.49,-5902352,WJ1,1,1
3,16,482,540,21.217,0.354,-5904410,WJ1,1,1
3,17,462,540,26.316,0.439,-6424844,WJ1,1,1
3,18,460,536,5.884,0.098,-10374223,WJ1,1,1
