probe,Rvalue
p7,0.79
p7,0.77
p7,0.76
p7,0.64
p15,0.44
p15,0.61
p15,0.65
p15,0.64
p27,0.83
p27,0.77
p27,0.83
p7,0.89
p7,0.86
p7,0.52
p7,0.79
p9,0.87
p9,0.8
p9,0.86
p9,0.82
p9,0.7
p9,0.87
p9,0.53
p9,0.58
p9,0.77
p9,0.7
p12,0.75
p12,0.72
p12,0.83
p12,0.8
p12,0.82
p12,0.74
p12,0.79
p12,0.87
p15,0.71
p15,0.51
p15,0.67
p15,0.35
p15,0.69
p15,0.76
p15,0.26
p15,0.46
p15,0.74
p18,0.78
p18,0.71
p18,0.75
p18,0.76
p18,0.69
p18,0.68
p18,0.73
p18,0.7
p21,0.76
p25,0.75
p25,0.71
p27,0.69
p27,0.83
p21,0.84
p21,0.89
p21,0.78
p21,0.76
p25,0.78
p25,0.74
p25,0.71
p25,0.79
p21,0.89
p27,0.87
p21,0.57
p21,0.59
p21,0.58
p21,0.59
p21,0.56
p21,0.76
p21,0.49
p21,0.7
p28,0.81
p28,0.85
p28,0.86
p28,0.88
p28,0.86
p9,0.75
p18,0.75
p18,0.68
p18,0.6
p28,0.72
p28,0.72
p28,0.81
p28,0.91
p21,0.64
p21,0.84
p25,0.78
p27,0.79
p27,0.9
p27,0.74
p25,0.75
