                             diff        lwr       upr     p adj
control-DMSO          0.747666667  0.4485575 1.0467758 0.0000001
neoton1-DMSO          0.822666667  0.5235575 1.1217758 0.0000000
neoton10-DMSO         0.782333333  0.4832242 1.0814425 0.0000000
unifusol2-DMSO        0.780666667  0.4815575 1.0797758 0.0000000
unifusol20-DMSO       0.824666667  0.5255575 1.1237758 0.0000000
PBS20-DMSO            0.870333333  0.5712242 1.1694425 0.0000000
neoton1-control       0.075000000 -0.2241092 0.3741092 0.9850833
neoton10-control      0.034666667 -0.2644425 0.3337758 0.9997939
unifusol2-control     0.033000000 -0.2661092 0.3321092 0.9998453
unifusol20-control    0.077000000 -0.2221092 0.3761092 0.9829328
PBS20-control         0.122666667 -0.1764425 0.4217758 0.8554535
neoton10-neoton1     -0.040333333 -0.3394425 0.2587758 0.9995061
unifusol2-neoton1    -0.042000000 -0.3411092 0.2571092 0.9993772
unifusol20-neoton1    0.002000000 -0.2971092 0.3011092 1.0000000
PBS20-neoton1         0.047666667 -0.2514425 0.3467758 0.9987223
unifusol2-neoton10   -0.001666667 -0.3007758 0.2974425 1.0000000
unifusol20-neoton10   0.042333333 -0.2567758 0.3414425 0.9993484
PBS20-neoton10        0.088000000 -0.2111092 0.3871092 0.9668344
unifusol20-unifusol2  0.044000000 -0.2551092 0.3431092 0.9991880
PBS20-unifusol2       0.089666667 -0.2094425 0.3887758 0.9636913
PBS20-unifusol20      0.045666667 -0.2534425 0.3447758 0.9989972
